6111;Introduccion a la Programacion I
6112;Analisis Matematico I
6113;Algebra I
6114;Quimica
6121;Ciencias de la Computacion I
6122;Introduccion a la Programacion II
6123;Algebra Lineal
6124;Fisica General
6125;Matematica Discreta
6211;Ciencias de la Computacion II
6212;Analisis y Diseño de Algoritmos I
6213;Introduccion a la Arquitectura de Sistemas
6214;Analisis Matematico II
6215;Electricidad y Magnetismo
6221;Analisis y Diseño de Algoritmos II
6222;Comunicacion de Datos I
